slug,question,category,clarity,clarity_reasons,mid,best_ask,best_bid,spread,volume,liquidity_clob,hours_to_close,event_sub_count,resolution_source,end_date,market_id,condition_id,yes_token,no_token,yes_outcome,no_outcome,rank_score
lal-ovi-vil-2026-04-23-vil,Will Villarreal CF win on 2026-04-23?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.465,0.47,0.46,0.01,41277,617572,61.1,1,https://www.laliga.com/,2026-04-23T19:30:00Z,1934257,0xc3acdcbd4ea52e8b457d0aab462f94ad50ef361985739dc4c6e0dbf5a5f37ac8,34981021308480704578221202407934542693198358558264372272529129067103037469432,59710276996603132335547251791835882361466079837933300870486302647403664370149,Yes,No,10.82554
lal-ray-esp-2026-04-23-ray,Will Rayo Vallecano de Madrid win on 2026-04-23?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.455,0.46,0.45,0.01,37492,632128,59.6,1,https://www.laliga.com/,2026-04-23T18:00:00Z,1934248,0x3a31135e0e198862fcbb3e6d7e94d6480f307b355ea6db5fe5878822b8fa87b1,113841169111814828937342374614914824551812293698650693429462983957815439794367,11854862227460930394240380723822190923921040701159428768619215004504768508831,Yes,No,10.74984
elc-sot-ips-2026-04-03-draw,Will Southampton FC vs. Ipswich Town FC end in a draw?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.3025,0.305,0.3,0.005,26047,1489,170.3,2,https://www.efl.com/,2026-04-28T08:45:00Z,1520677,0xec12109d876ea514568d27dd4e072d91a5a146c1c4c3889b3c70df2738be4d99,40809604662521114691966532122426341884725496329178789183269487441397911964017,57264856910445592955331378955120358312679462472975431908812122619873581085281,Yes,No,10.52094
lal-lev-sev-2026-04-23-sev,Will Sevilla FC win on 2026-04-23?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.315,0.32,0.31,0.01,17473,705044,58.6,1,https://www.laliga.com/,2026-04-23T17:00:00Z,1934243,0x69636194fbf82f6310612be8fdc290b3a48d1a89a83568b91e4e517c70416bd8,57803252431225186899419009211788447094168717925140408687845440384396249651583,7702700225197307350899987293028589509254677205548745221359126685358938775028,Yes,No,10.34946
bun-lei-uni-2026-04-24-lei,Will RB Leipzig win on 2026-04-24?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.72,0.73,0.71,0.02,13759,25971,84.1,1,https://www.bundesliga.com/en/bundesliga,2026-04-24T18:30:00Z,1943695,0xfa544c3e2b0e6e658236bb28fa9a0466a5c58c8dadf325c323eb759adba7cebb,62387523423877183154514285918920772484523902453925290304492307292909105650620,93067558251180752379245818013658176225470864897773709179945267882251522123180,Yes,No,10.27518
bun-hsv-hof-2026-04-25-hof,Will TSG 1899 Hoffenheim win on 2026-04-25?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.535,0.54,0.53,0.01,10687,561667,106.1,1,https://www.bundesliga.com/en/bundesliga,2026-04-25T16:30:00Z,1953345,0xb504b972fdfc509b95105bf7b2d919191f06fa19f487a953297b3d21ccf0cef4,5495528798550268845800923120822538300641311883936756401846626162286331191374,102467782678158101355838294884562516581251436594028934802180255007781293281230,Yes,No,10.21374
efa-cfc-lee-2026-04-25-cfc,Will Chelsea FC win on 2026-04-25?,other,5,has resolution URL; has description; uses 'official'; negRisk format,0.52,0.53,0.51,0.02,10078,243526,103.6,1,https://www.thefa.com/competitions/thefacup,2026-04-25T14:00:00Z,1893837,0xf303efb60101e394d8929b185732f84190f66d33a05afa619958dc6c0bb0979c,60919236158969104637781542703408298053905760264925529375426023253021343820459,28126905995029075746801290885704292820486462035864468711387109309902749843741,Yes,No,10.20156
netanyahu-out-by-april-30,Netanyahu out by April 30?,other,2,has description; uses 'official',0.0065,0.007,0.006,0.001,8261026,222135,209.6,3,,2026-04-30T00:00:00Z,1632763,0xb37e5f6ece2db9165517b62e3257e0da5d3e79713883cb71c74013fe912e8a4d,94971791649616758046979838862595479708845542618213971624131398549272319500007,23817979944211394691334587934704165710302136064023445337739699893544600634387,Yes,No,9.0
russia-x-ukraine-ceasefire-by-april-30-2026,"Russia x Ukraine ceasefire by April 30, 2026?",other,2,has description; uses 'official',0.0095,0.01,0.009,0.001,7442466,128631,209.6,1,,2026-04-30T00:00:00Z,1439560,0x7434b22007745d99095c102119fdb6b975d34869212e9dda4c6c5c48db0683a7,49104850284632622899464724213962069238178748191343145680035482303540284145930,32509811268907189614687992216888444066936299378006345784007012748724037421351,Yes,No,9.0
will-israel-launch-a-ground-operation-in-iran-by-april-30-2026,"Will Israel launch a ground operation in Iran by April 30, 2026?",other,2,has description; uses 'official',0.048,0.054,0.042,0.012,540769,20951,209.6,2,,2026-04-30T00:00:00Z,1628449,0x0b99844286b27cd3eca1764d1699d72be941500be9930450faff1d6f25d0eda0,49638760706041335078592843261785480064925646860007306280048938944032918353296,90784620555498009536953801629978285005124604400438910385456075729528821507374,Yes,No,9.0
will-another-country-conduct-military-action-against-iran-by-april-30-2026,"Will another country conduct military action against Iran by April 30, 2026?",other,2,has description; uses 'official',0.09,0.1,0.08,0.02,460576,37591,209.6,2,,2026-04-30T00:00:00Z,1641032,0x9a8757bf4ecee8ba364603c3195d63c37c4d2700b69f8e4c5f751850bc330c9a,34326167000070763607237385728981202142045743684217811488054767471626770511481,73786232036661654657932674433457177929337819439338773393382320313453969870925,Yes,No,9.0
us-obtains-iranian-enriched-uranium-by-april-30,US obtains Iranian enriched uranium by April 30?,other,2,has description; uses 'official',0.0225,0.024,0.021,0.003,429860,146979,209.6,3,,2026-04-30T00:00:00Z,2006982,0xd87a0ee5367e38072ac013e99035672125fee3a3f4446f0389fe806e42e3e42e,41096062945098111823949933488606080240606740976160051684644447840115341135428,107954094694031491419426961086575608232833931530777814045947373328458211979429,Yes,No,9.0
will-a-gulf-state-carry-out-military-action-against-iran-by-april-30-2026,"Will a Gulf State carry out military action against Iran by April 30, 2026?",other,2,has description; uses 'official',0.08,0.09,0.07,0.02,373448,41022,209.6,1,,2026-04-30T00:00:00Z,1722477,0x8a4e2896a318755e419acbeb8f5896ce06715fd2e5ebf35c27602a51b1a891b0,12725228216232659927260200422388843865897455065619986459222807494907250144402,31177560426856763909235978620884135575991207976286107340700431110159040437000,Yes,No,9.0
will-us-withdraw-from-nato-by-april-30-583-663,Will US withdraw from NATO by April 30?,other,2,has description; uses 'official',0.0095,0.01,0.009,0.001,3678108,191501,209.6,3,,2026-04-30T00:00:00Z,1820098,0x74d91fa19bbdae4b7afba167f3d297d7c135d87053b1433d1d71d966da64550b,37339243082539902522082782554938254122014865577420153623737376649900671604414,63428747946757965627623127875457196319778634309655676387245933195406610492581,Yes,No,9.0
crude-oil-all-time-high-by-april-30,Crude Oil all time high by April 30?,other,2,has description; uses 'official',0.0265,0.028,0.025,0.003,327776,67043,209.6,1,,2026-04-30T00:00:00Z,1797770,0xdb7160b3dd09ea1ec2bba1875256305ce08e63409bb65024c0d1b2f833ae1342,8472237477603524361163391714262457532711782703462707533041831836599948336843,6532065038074852169977568453230387141042787497132513241225472572084634089576,Yes,No,9.0
mojtaba-khamenei-leaves-iran-by-april-30-2026,"Mojtaba Khamenei leaves Iran by April 30, 2026?",other,2,has description; uses 'official',0.014,0.015,0.013,0.002,256684,30974,209.6,2,,2026-04-30T00:00:00Z,1552201,0x12e3cc1640a58ee52e0ce2237c95ffefb7f543d65c0061043f23c803b215f099,70870654363116634142903170873464145965629451055364746669914617568558201989337,112051630887324296511779245946018669657625458064408695733265875686399168693155,Yes,No,9.0
iran-agrees-to-surrender-enriched-uranium-stockpile-by-april-30-2026,"Iran agrees to surrender enriched uranium stockpile by April 30, 2026?",other,2,has description; uses 'official',0.201,0.202,0.2,0.002,1548397,77507,209.6,3,,2026-04-30T00:00:00Z,1731344,0x5d37825716832a4a54f89450932e89510f26cf4be59aeec3149d2c49e5fdf44d,106220853378183696641226754443875866363184608965104019427770764978887400913119,37726096291033755960138434480309842752392906581303110222866737197011090444316,Yes,No,9.0
iran-agrees-to-end-enrichment-of-uranium-by-april-30,Iran agrees to end enrichment of uranium by April 30?,other,2,has description; uses 'official',0.326,0.329,0.323,0.006,1401977,32327,209.6,1,,2026-04-30T00:00:00Z,1515492,0xe6939069d36ad63a9f7fcafa91b627a3f373a3264ab0347c1a5e042c5f7d1f08,59937347564572872290316062672979454904942576853251346531585432029105806826906,45597711622387912219653444276103986294074055793579848443843157909150342449647,Yes,No,9.0
will-claude-5-be-released-by-april-30-2026,"Will Claude 5 be released by April 30, 2026?",other,2,has description; uses 'official',0.0105,0.012,0.009,0.003,1251030,26918,209.6,3,,2026-04-30T00:00:00Z,1363116,0x3acb42d4a4da859a82ec3c78e6be641489985672ea7f28ae73da7c253af32fa8,11966409881281293602137861492007400834690026843003461391578987664208256196909,82209590231779792807676037257243155247666516740634978111740493772421161050494,Yes,No,9.0
kharg-island-no-longer-under-iranian-control-by-april-30-912,Kharg Island no longer under Iranian control by April 30?,other,2,has description; uses 'official',0.0825,0.083,0.082,0.001,12085432,100613,233.5,3,,2026-04-30T23:55:00Z,1611267,0xa78ecba9c4273564cce4b810db46bb36cc35db9cd52fc4e067c77f85af1c1048,66760013958706218500063341242954853503885044406421636173986330736153883161818,15589749219518581780498663260935033750904904134256892110326788769484848745555,Yes,No,9.0
cricipl-sun-del-2026-04-21,Indian Premier League: Sunrisers Hyderabad vs Delhi Capitals,other,4,has resolution URL; has description; uses 'official',0.525,0.53,0.52,0.01,31504,3161254,171.6,1,https://www.espncricinfo.com/,2026-04-28T10:00:00Z,1981948,0xd41eb0fded36a8cba2aabe8479640a31237fa34d1cbec37b055f71603454ea2c,97993387429885580606362120312086527159525797874512102308707305257405959881007,89199134316096779832130358477274763727814665626832589928801700159161639214984,Sunrisers Hyderabad,Delhi Capitals,8.63008
iran-agrees-to-unrestricted-shipping-through-hormuz-in-april,Iran agrees to unrestricted shipping through Hormuz in April?,other,2,has description; uses 'official',0.22,0.23,0.21,0.02,229787,20879,209.6,1,,2026-04-30T00:00:00Z,1983797,0x3e1363efbf76899943f61797d0ffc2de5c47a716e2ec66189f45ab65b28078f9,50460390339300670089294807389957154258823890126698777814350873553805417631623,96845238758981406365479447960619751336939626600333396202677357127195729369588,Yes,No,8.59574
israel-strike-on-yemen-by-april-30-2026-212-911,"Israel strike on Yemen by April 30, 2026?",other,2,has description; uses 'official',0.106,0.117,0.095,0.022,221905,13577,209.6,3,,2026-04-30T00:00:00Z,1641497,0xb7dfd4e3da4055435f1db97db441391729df4a9e4b41b5f6d0212fc490eb5445,97502225604188679731910255142329798475400025079543823690880164148891433611299,30561980169268678819735256982225694704116127378508623571936660192492766073388,Yes,No,8.4381
nvda-above-150-on-april-30-2026,Will NVIDIA (NVDA) close above $150 end of April?,other,4,has resolution URL; has description; uses 'official',0.9825,0.989,0.976,0.013,12926,4330,229.6,1,https://finance.yahoo.com/quote/NVDA/history,2026-04-30T20:00:00Z,1748265,0xa8824072eb9dc65b81e3e0a600b1191fce113244c0470556b381cc59266dbec2,37268061501387589524516321201676704777345126043921884066256870188131630436370,34047273961670147397449900269056708651348248780625809721226470370567219705840,Yes,No,8.25852
lal-ovi-vil-2026-04-23-total-2pt5,Real Oviedo vs. Villarreal CF: O/U 2.5,other,4,has resolution URL; has description; uses 'official',0.485,0.49,0.48,0.01,11466,297760,61.1,1,https://www.laliga.com/,2026-04-23T19:30:00Z,1934534,0x17bf08a728d7c1180d9b19ae3bab9012b6093495ab76e5b303b430762413e3e8,105751710315544908348732234821923828700400798538575292278199184473092814036821,82115252135245078466794287763051709372546436105474264879943170422428783132796,Over,Under,8.22932
save-act-becomes-law-by-april-30-2026,"SAVE Act becomes law by April 30, 2026?",other,2,has description; uses 'official',0.006,0.007,0.005,0.002,208765,13045,209.6,2,,2026-04-30T00:00:00Z,1553247,0x9148eb8fb285bd788ae88d8829899cb9a69e837136d942b91574d5cb21d96972,43005362793985406957098692547842368839588476150599307038323863476447171269608,25618684230794053140529911333113627976061030137757763256165902192069490732313,Yes,No,8.1753
naim-qassem-out-as-hezbollahs-secretary-general-by-april-30-2026,"Naim Qassem out as Hezbollah’s secretary-general by April 30, 2026?",other,2,has description; uses 'official',0.058,0.068,0.048,0.02,203757,19510,209.6,2,,2026-04-30T00:00:00Z,1795678,0xaaa6ee3092e91a716564958798cbdda7c0a4eb7bac578e726182810007f78fbb,41504936186126564462275139997532100703542640913268239675596349112690992674878,102458875832755775221323303474434091694976786200665082400236699233250808321018,Yes,No,8.075140000000001
will-a-claude-mythos-model-be-released-by-april-30-2026-817-186,"Will a Claude Mythos model be released by April 30, 2026?",other,2,has description; uses 'official',0.0115,0.013,0.01,0.003,202986,19436,209.6,2,,2026-04-30T00:00:00Z,1743767,0xf79fa1e99b1a05dbe15117bd5d9d3bee53f4a8cc7a0f4c6592f3fa6d27604b7f,64606628820815196254917251659620042423429278597210534408824693851180526293872,63567788948928777053113956485140643549007102933912677071504074553932518150843,Yes,No,8.05972
will-israel-strike-4-countries-in-april-2026,Will Israel strike ≥4 countries in April 2026?,other,3,has description; uses 'official'; negRisk format,0.045,0.05,0.04,0.01,45526,22198,209.6,3,,2026-04-30T00:00:00Z,1706221,0x0ad08cab7fb310932104eb5524279673b9b758811b73cd42839974893f797161,27049309005895655063592237443799982243230419507147318549676930260689694687780,21592054333046486593707777634907709486260989476511754033097339932561145449368,Yes,No,6.91052
will-israel-strike-3-countries-in-april-2026,Will Israel strike 3 countries in April 2026?,other,3,has description; uses 'official'; negRisk format,0.15,0.16,0.14,0.02,33401,15000,209.6,3,,2026-04-30T00:00:00Z,1706220,0x0e9713d5dd3893d45e88fb98fd832d6e5bab0ad0b704fee688f273b64331b044,1584373619402388534546398188573400728790982254090971567482855721652664175448,78343176461254291205668834662765002107740619909137856027695745725608744093706,Yes,No,6.66802
will-israel-strike-2-countries-in-april-2026,Will Israel strike 2 countries in April 2026?,other,3,has description; uses 'official'; negRisk format,0.79,0.8,0.78,0.02,30855,9976,209.6,3,,2026-04-30T00:00:00Z,1706219,0xf4c8bd96ef1c9793e41acce48478201f639b6ca6bc86fbbe8ba7506c3a431f87,101093327686448464110183671771563051462080170785757555934209501759423413777730,65703348544930402416866232095267793623498402684237749423085609336892644392524,Yes,No,6.6171
will-the-central-bank-of-colombia-announce-a-decrease-at-the-april-meeting,Will the Central Bank of Colombia announce a decrease at the April meeting?,other,3,has description; uses 'official'; negRisk format,0.013,0.014,0.012,0.002,29076,2385,209.6,2,,2026-04-30T00:00:00Z,1301502,0x3e85038631d4bade028ea78fe9ab06f8fa825d21ad72fe34efab7c028ed66b05,97875918832104492429867073219501836736817184678305861477524350401984879336353,68720459603625284666943385408099964022575508709643801665175988656221396253438,Yes,No,6.58152
will-googl-reach-400-in-april,Will Google reach $400 in April?,other,3,has resolution URL; has description,0.012,0.014,0.01,0.004,26611,2528,237.6,2,https://finance.yahoo.com/quote/GOOGL/,2026-05-01T03:59:59.999Z,1542552,0xcf3254930341a17b6741b917377c39851f4e71eeece8aa125b20a3c15d80ad5a,26206220781167095130014264646587387147603789290601542452798086660033071222243,61003400370706596852980143644874677946345285312549732892567862740326189681224,Yes,No,6.53222
us-announces-military-support-of-kurds-in-iran-by-april-30,US announces military support of Kurds in Iran by April 30?,other,2,has description; uses 'official',0.029,0.034,0.024,0.01,124035,20955,209.6,1,,2026-04-30T00:00:00Z,1763610,0xe051d1d70197f7e493c9c2421b8352f5c1be856c5ceea5014a461e8a7581b5c2,13703677084433240180427122463020613342295220875189558844491524739839557957517,62917675950777934769512860462891828658144993645862656073292383218669577284751,Yes,No,6.480700000000001
will-usdai-launch-a-token-on-april-21,Will USD.AI launch a token on April 21?,other,3,has description; uses 'official'; negRisk format,0.981,0.984,0.978,0.006,22690,4311,237.6,1,,2026-05-01T04:00:00Z,1861150,0x14e1d43879c68dd46f827fd0a1bd19db978fadf73238cf8fc02405cd66dafe98,45607099666154377415824451835115063457824599185765245677309064969523238078811,14780600584549539811584083183796459244084775533557890179055248991307641295246,Yes,No,6.4538
tulsi-gabbard-out-by-april-30,Tulsi Gabbard out by April 30?,other,2,has description; uses 'official',0.05,0.06,0.04,0.02,120008,28288,209.6,2,,2026-04-30T00:00:00Z,1691769,0x31be58a5780abf7897b399ebede662425fa469b0331bf5dc347d734bdbe9b303,80311603726042038016961014897769945422217990037398468701687364638741230613498,45014062824579200301009664451906941819568159028739839901511062690371186349811,Yes,No,6.40016
will-tsla-reach-555-in-april,Will Tesla reach $555 in April?,other,3,has resolution URL; has description,0.005,0.006,0.004,0.002,17637,8636,237.6,2,https://finance.yahoo.com/quote/TSLA/,2026-05-01T03:59:59.999Z,1542610,0xea401634ff13822ef5fafb067aa68cf43a133ac0458d4ec0a66b804ac81eb25c,63475678014921272375006976308358620400622414998257578762463603195462318204550,19907504904089764366818132801712384193665915178255910656770114901556210226243,Yes,No,6.35274
will-tsla-dip-to-285-in-april,Will Tesla dip to $285 in April?,other,3,has resolution URL; has description,0.029,0.047,0.011,0.036,14385,8490,237.6,2,https://finance.yahoo.com/quote/TSLA/,2026-05-01T03:59:59.999Z,1542645,0xe73e1e85df66fe3bec24ff2326f2a5327604be6ceb7df608f8e5f9cb17591b58,31041348711571553552917208320836354365693989291705898435478703333960552375147,9651669450368789230251632059934468222366667850737345570271052268199619201569,Yes,No,6.2877
will-eric-conroy-be-the-republican-nominee-for-oh-01,Will Eric Conroy be the Republican nominee for OH-01?,other,3,has description; uses 'official'; negRisk format,0.951,0.97,0.932,0.038,13541,11236,329.6,1,,2026-05-05T00:00:00Z,1731651,0xbd5d1e406ef6afdf1bbf2fe3ccb2b936f3bac9a163a291b58c01cd03d830288d,77091311989455688915872777917115943924115070620608311745613782325831559184273,92286419923537969911376944615418720014446012527284264298641469144145941521167,Yes,No,6.27082
will-amzn-dip-to-168-in-april,Will Amazon dip to $168 in April?,other,3,has resolution URL; has description,0.007,0.011,0.003,0.008,12981,1152,237.6,2,https://finance.yahoo.com/quote/AMZN/,2026-05-01T03:59:59.999Z,1542532,0xd8e4f0021a11b9065ee21995ab9cceb7c75238c8e5e2c3218d6c524194c81091,19832164900136195879251041317177578398273237936305734762847784379800717452499,8608697044811091850329857373240587441141915403196544176158991782956223126270,Yes,No,6.25962
will-iran-sabotage-undersea-internet-cables-by-april-30,Will Iran sabotage undersea internet cables by April 30?,other,2,has description; uses 'official',0.0415,0.044,0.039,0.005,100870,20519,209.6,1,,2026-04-30T00:00:00Z,1691964,0xf8c728188acbf83a516cb43dd3e456e77c7fac0a56d4bc41c9bb6138cdbee093,16810901747784593116727451236298701238429144065780875854351128920026731531598,22941561098601858405552060723417867930144849461360291065600134635274685275414,Yes,No,6.0174
qatarenergy-announcesresumes-lng-production-in-qatar-by-april-30,QatarEnergy announces/resumes LNG production in Qatar by April 30?,other,2,has description; uses 'official',0.315,0.32,0.31,0.01,99103,13779,209.6,1,,2026-04-30T00:00:00Z,1819243,0xf220061c0e83defd413070f97fb55660485ca8540c43be13d9e71082ca2cad57,96351650250139397447438653380483970772060142397849794315678720298272472897874,35215605700679698941732970499634840134674905805412260600160248150702604117291,Yes,No,5.98206
save-act-becomes-law-by-december-31-2026,"SAVE Act becomes law by December 31, 2026?",other,2,has description; uses 'official',0.295,0.3,0.29,0.01,86763,31279,209.6,2,,2026-04-30T00:00:00Z,1553248,0x2bcd1ba3fe74acf827cbccaeefe74214b0cf288faad8aa9654db7525ddeca61b,6481065406228558365238644843443361794127708339263750609499644517192303031538,21878035152449236052312647114155923868942746760210250319896941858011977348427,Yes,No,5.73526
will-hoppers-be-the-march-film-with-the-highest-domestic-gross-on-april-30,Will Hoppers be the March film with the highest domestic gross on April 30?,other,2,has description; negRisk format,0.0025,0.003,0.002,0.001,75144,8021,209.6,2,,2026-04-30T00:00:00Z,1390069,0x5b38cf932b57ce22c4ed2231b6bb2b667c767f50c0dc64242865861b95b79c6c,75084008053816676185355522083683303300559912565059036121837319098462568220524,55822380251702566382905252825921365400099655821905483487971418005096133983832,Yes,No,5.50288
will-gustavo-petro-be-charged-in-the-us-by-april-30,Will Gustavo Petro be charged in the US by April 30?,other,2,has description; uses 'official',0.0055,0.008,0.003,0.005,63033,8781,209.6,1,,2026-04-30T00:00:00Z,1663444,0xee0ed2ea895732981e7c8880302da3edb9a7238c1e00eefc3b05ca2a309109c5,48872355094865625228359634693368699252583684794965591115087662730300025170156,72046499121280019170613663593666156324024077608846782635288300720886107643618,Yes,No,5.26066
will-kim-kardashian-pass-the-bar-exam-by-may-3,Will Kim Kardashian pass the bar exam by May 3?,other,2,has description; uses 'official',0.065,0.08,0.05,0.03,50971,6442,281.6,1,,2026-05-03T00:00:00Z,675435,0xad74ec4c2b537ba1d1c914dee6a9a551136da2bc6706908aa406b028a5ce4849,11919136486006873230016314493356477536899860152738426478109016899949404708107,13807890118856274250052051142746850832347855077322656523151046362399113308927,Yes,No,5.01942
